viralProtein,entry,geneName,uniprotProteinID
SARS-CoV2 E,O00203,AP3B1,AP3B1_HUMAN
SARS-CoV2 E,O60885,BRD4,BRD4_HUMAN
SARS-CoV2 E,P25440,BRD2,BRD2_HUMAN
SARS-CoV2 E,Q6UX04,CWC27,CWC27_HUMAN
SARS-CoV2 E,Q86VM9,ZC3H18,ZCH18_HUMAN
SARS-CoV2 E,Q8IWA5,SLC44A2,CTL2_HUMAN
SARS-CoV2 M,O75439,PMPCB,MPPB_HUMAN
SARS-CoV2 M,O95070,YIF1A,YIF1A_HUMAN
SARS-CoV2 M,P05026,ATP1B1,AT1B1_HUMAN
SARS-CoV2 M,P11310,ACADM,ACADM_HUMAN
SARS-CoV2 M,P13804,ETFA,ETFA_HUMAN
SARS-CoV2 M,P27105,STOM,STOM_HUMAN
SARS-CoV2 M,P38435,GGCX,VKGC_HUMAN
SARS-CoV2 M,P38606,ATP6V1A,VATA_HUMAN
SARS-CoV2 M,P48556,PSMD8,PSMD8_HUMAN
SARS-CoV2 M,Q00765,REEP5,REEP5_HUMAN
SARS-CoV2 M,Q10713,PMPCA,MPPA_HUMAN
SARS-CoV2 M,Q4KMQ2,ANO6,ANO6_HUMAN
SARS-CoV2 M,Q5JRX3,PITRM1,PREP_HUMAN
SARS-CoV2 M,Q6PML9,SLC30A9,ZNT9_HUMAN
SARS-CoV2 M,Q7L8L6,FASTKD5,FAKD5_HUMAN
SARS-CoV2 M,Q8NEW0,SLC30A7,ZNT7_HUMAN
SARS-CoV2 M,Q96CW5,TUBGCP3,GCP3_HUMAN
SARS-CoV2 M,Q96D53,COQ8B,COQ8B_HUMAN
SARS-CoV2 M,Q96ER3,SAAL1,SAAL1_HUMAN
SARS-CoV2 M,Q96HR9,REEP6,REEP6_HUMAN
SARS-CoV2 M,Q96HW7,INTS4,INT4_HUMAN
SARS-CoV2 M,Q9BQT8,SLC25A21,ODC_HUMAN
SARS-CoV2 M,Q9BSJ2,TUBGCP2,GCP2_HUMAN
SARS-CoV2 M,Q9BW92,TARS2,SYTM_HUMAN
SARS-CoV2 M,Q9NQC3,RTN4,RTN4_HUMAN
SARS-CoV2 M,Q9UBU6,FAM8A1,FA8A1_HUMAN
SARS-CoV2 M,Q9UDR5,AASS,AASS_HUMAN
SARS-CoV2 M,Q9ULX6,AKAP8L,AKP8L_HUMAN
SARS-CoV2 M,Q9Y312,AAR2,AAR2_HUMAN
SARS-CoV2 M,Q9Y6E2,BZW2,BZW2_HUMAN
SARS-CoV2 N,O43818,RRP9,U3IP2_HUMAN
SARS-CoV2 N,P11940,PABPC1,PABP1_HUMAN
SARS-CoV2 N,P19784,CSNK2A2,CSK22_HUMAN
SARS-CoV2 N,P67870,CSNK2B,CSK2B_HUMAN
SARS-CoV2 N,Q13283,G3BP1,G3BP1_HUMAN
SARS-CoV2 N,Q13310,PABPC4,PABP4_HUMAN
SARS-CoV2 N,Q6PKG0,LARP1,LARP1_HUMAN
SARS-CoV2 N,Q8NCA5,FAM98A,FA98A_HUMAN
SARS-CoV2 N,Q8TAD8,SNIP1,SNIP1_HUMAN
SARS-CoV2 N,Q92900,UPF1,RENT1_HUMAN
SARS-CoV2 N,Q9HCE1,MOV10,MOV10_HUMAN
SARS-CoV2 N,Q9UN86,G3BP2,G3BP2_HUMAN
SARS-CoV2 N,Q9NR30,DDX21,DDX21_HUMAN
SARS-CoV2 N,Q9NW13,RBM28,RBM28_HUMAN
SARS-CoV2 N,Q9Y3U8,RPL36,RL36_HUMAN
SARS-CoV2 Spike,Q7Z5G4,GOLGA7,GOGA7_HUMAN
SARS-CoV2 Spike,Q9C0B5,ZDHHC5,ZDHC5_HUMAN
SARS-CoV2 nsp1,P09884,POLA1,DPOLA_HUMAN
SARS-CoV2 nsp1,P49642,PRIM1,PRI1_HUMAN
SARS-CoV2 nsp1,P49643,PRIM2,PRI2_HUMAN
SARS-CoV2 nsp1,Q14181,POLA2,DPOA2_HUMAN
SARS-CoV2 nsp1,Q8NBJ5,COLGALT1,GT251_HUMAN
SARS-CoV2 nsp1,Q99959,PKP2,PKP2_HUMAN
SARS-CoV2 nsp10,O94973,AP2A2,AP2A2_HUMAN
SARS-CoV2 nsp10,P55789,GFER,ALR_HUMAN
SARS-CoV2 nsp10,Q969X5,ERGIC1,ERGI1_HUMAN
SARS-CoV2 nsp10,Q96CW1,AP2M1,AP2M1_HUMAN
SARS-CoV2 nsp10,Q9HAV7,GRPEL1,GRPE1_HUMAN
SARS-CoV2 nsp11,O75347,TBCA,TBCA_HUMAN
SARS-CoV2 nsp12,A3KN83,SBNO1,SBNO1_HUMAN
SARS-CoV2 nsp12,O14874,BCKDK,BCKD_HUMAN
SARS-CoV2 nsp12,O43823,AKAP8,AKAP8_HUMAN
SARS-CoV2 nsp12,O75592,MYCBP2,MYCB2_HUMAN
SARS-CoV2 nsp12,O95391,SLU7,SLU7_HUMAN
SARS-CoV2 nsp12,Q13546,RIPK1,RIPK1_HUMAN
